iter	Passed	Remaining
917	27865	2489
918	27889	2458
919	27900	2426
920	27909	2393
921	27917	2361
922	27995	2335
923	28021	2304
924	28067	2275
925	28086	2244
926	28116	2214
927	28204	2188
928	28221	2156
929	28237	2125
930	28253	2093
931	28310	2065
932	28337	2034
933	28367	2004
934	28377	1972
935	28431	1944
936	28505	1916
937	28537	1886
938	28552	1854
939	28564	1823
940	28573	1791
941	28599	1760
942	28654	1732
943	28700	1702
944	28725	1671
945	28739	1640
946	28747	1608
947	28757	1577
948	28785	1546
949	28816	1516
950	28876	1487
951	28948	1459
952	28985	1429
953	29014	1399
954	29022	1367
955	29036	1336
956	29063	1305
957	29101	1275
958	29130	1245
959	29147	1214
960	29160	1183
961	29171	1152
962	29216	1122
963	29249	1092
964	29290	1062
965	29314	1031
966	29329	1000
967	29339	969
968	29348	938
969	29359	908
970	29425	878
971	29490	849
972	29504	818
973	29560	789
974	29593	758
975	29622	728
976	29634	697
977	29645	666
978	29654	636
979	29689	605
980	29763	576
981	29778	545
982	29801	515
983	29811	484
984	29821	454
985	29833	423
986	29850	393
987	29926	363
988	29964	333
989	29997	303
990	30025	272
991	30042	242
992	30063	211
993	30072	181
994	30101	151
995	30130	121
996	30205	90
997	30223	60
998	30233	30
999	30242	0
